Name,Frequency,Amplitude,PulseWidth,AOA
S1,1376.295,-10,259.42,109
S1,1426.08,-10,225.82,109
S1,1376.315,-10,245.32,109
S1,1376.36,-10,226.09,109
S1,1376.36,-10,226.09,111
S1,1376.01,-10,226.09,111
S1,1376.215,-54,17.71,29
S1,1376.215,-54,17.71,29
S1,1376.195,-33,235.78,111
S1,1376.195,-33,235.78,108
S1,1426.1,-33,227.32,108
S1,1376.175,-38,230.59,29
S1,1426.03,-33,5.77,108
S1,1426.04,-12,226.03,108
S1,1376.125,-12,226.03,108
S1,1376.01,-12,226.03,108
S1,1376.01,-12,226.03,105
S1,1376.08,-12,226.03,105
S1,1376.105,-12,226.03,105
S1,1376.175,-38,230.59,29
S1,1376.175,-38,230.59,29
S1,1376.175,-68,230.59,29
S1,1376.175,-68,230.59,29
S1,1376.105,-12,226.03,107
S1,1425.825,-32,255.43,86
S1,1376.155,-11,226.18,86
S1,1376.155,-11,226.18,86
S1,1376.175,-68,230.59,29
S1,1376.275,-11,261.67,86
S1,1376.275,-11,261.67,88
S1,1376.275,-11,261.67,90
S1,1376.175,-46,230.59,29
S1,1376.175,-46,230.59,29
S1,1426.1,-11,229.9,90
S1,1375.92,-11,8.17,90
S1,1376.36,-11,258.28,90
S1,1426.255,-11,225.88,90
S1,1426.255,-11,225.88,92
S1,1426.255,-11,225.88,94
S1,1376.125,-11,225.88,94
S1,1376.125,-11,225.88,96
S1,1425.98,-11,225.88,96
S1,1376.145,-11,225.88,96
S1,1376.145,-11,225.88,103
S1,1376.315,-11,237.67,103
S1,1375.69,-11,237.67,103
S1,1375.69,-11,237.67,105
S1,1376.175,-46,230.59,42
S1,1425.775,-31,5.83,105
S1,1425.775,-31,5.83,107
S1,1376.105,-31,236.38,107
S1,1425.705,-31,5.35,107
S1,1426.125,-31,232.33,107
S1,1376.0,-31,232.33,107
S1,1376.145,-31,232.33,107
S1,1376.1,-11,232.33,107
S1,1425.95,-11,15.1,109
S1,1425.745,-11,5.8,109
S1,1426.145,-11,236.29,109
S1,1376.215,-11,236.29,109
S1,1425.695,-11,9.85,109
S1,1376.33,-11,229.3,109
S1,1376.1,-10,229.3,109
S1,1376.555,-10,229.3,109
S1,1376.555,-10,229.3,111
S1,1376.315,-10,229.3,111
S1,1376.295,-10,243.97,111
S1,1376.145,-10,110.26,111
S1,1376.175,-10,233.68,111
S1,1375.765,-10,7.87,111
S1,1376.215,-10,226.21,111
S1,1426.1,-10,226.21,111
S1,1426.1,-10,226.21,108
S1,1376.215,-10,226.21,108
S1,1426.555,-51,263.2,268
S1,1376.265,-11,226.21,108
S1,1376.265,-11,226.21,110
S1,1376.34,-11,242.59,110
S1,1425.725,-11,9.1,110
S1,1426.125,-11,228.97,110
S1,1376.215,-10,228.97,110
S1,1376.175,-10,248.71,110
S1,1426.555,-51,263.2,268
S1,1376.175,-10,248.71,107
S1,1376.04,-10,226.18,107
S1,1376.195,-10,238.72,107
S1,1376.195,-10,238.72,109
S1,1426.555,-50,263.2,268
S1,1426.555,-50,263.2,268
S1,1426.36,-10,238.72,109
S1,1376.105,-10,228.58,109
S1,1425.94,-10,228.58,109
S1,1425.94,-10,228.58,106
S1,1376.145,-10,236.71,106
S1,1376.04,-10,226.21,106
S1,1376.105,-11,239.02,106
S1,1426.555,-50,263.2,270
S1,1376.105,-11,239.02,108
S1,1376.315,-11,239.02,108
S1,1426.305,-11,239.02,108
S1,1376.1,-11,239.02,108
S1,1426.555,-50,263.2,270
S1,1426.555,-50,263.2,272
S1,1376.08,-11,251.2,108
S1,1376.08,-11,251.2,105
S1,1426.555,-70,2.53,272
S1,1426.555,-70,2.53,272
S1,1376.02,-10,226.21,105
S1,1376.02,-10,226.21,107
S1,1426.555,-66,2.53,274
S1,1425.97,-62,2.53,274
S1,1425.97,-62,2.53,274
S1,1376.02,-10,226.21,109
S1,1425.775,-10,5.02,109
S1,1425.97,-62,2.53,271
S1,1425.92,-10,226.09,109
S1,1375.745,-10,226.09,109
S1,1376.04,-10,226.09,109
S1,1376.04,-10,226.09,106
S1,1376.265,-10,226.09,106
S1,1425.895,-10,226.09,106
S1,1425.98,-127,5.38,106
S1,1425.68,-10,5.38,106
S1,1425.97,-62,2.53,270
S1,1425.705,-12,5.38,106
S1,1376.175,-10,226.18,106
S1,1425.68,-10,6.7,106
S1,1426.32,-10,230.98,106
S1,1376.135,-10,230.98,106
S1,1376.175,-10,230.98,106
S1,1376.175,-10,230.98,108
S1,1376.08,-10,230.98,108
S1,1426.03,-10,230.98,108
S1,1376.33,-10,230.98,108
S1,1425.94,-127,7.75,108
S1,1425.94,-127,7.75,105
S1,1426.0,-10,226.03,105
S1,1376.06,-10,226.03,105
S1,1425.745,-10,5.26,105
S1,1425.745,-10,5.26,107
S1,1376.155,-10,226.15,107
S1,1376.155,-10,226.15,109
S1,1376.155,-10,226.15,111
S1,1425.875,-10,7.87,111
S1,1376.08,-10,226.18,111
S1,1376.08,-10,226.18,108
